	积分流强A*h	  流强mA	  寿命h 	压强pa  	流强*寿命	压强/流强
	147.3321062	215.933056	3.211895995	2.29E-07	693.5545178	1.06E-09
	148.5153084	141.4183074	3.465894596	1.58E-07	490.1409474	1.12E-09
	150.976154	121.835351	4.165631168	1.70E-07	507.5211355	1.39E-09
	156.1685948	178.6721414	4.104608771	2.01E-07	733.3792388	1.12E-09
	160.8645476	181.4808792	3.154349798	2.53E-07	572.4541746	1.39E-09
	162.3203267	218.419958	3.040218447	2.67E-07	664.0443856	1.22E-09
	164.0806717	217.244346	3.409908543	2.04E-07	740.7833513	9.40E-10
	165.4997592	131.2260482	3.812524311	1.74E-07	500.3024991	1.32E-09
	166.2639189	239.617412	3.213379446	2.29E-07	769.9816666	9.55E-10
	170.267118	128.793803	4.447444753	1.66E-07	572.8033234	1.29E-09
	173.0746669	179.7812286	3.624939752	2.35E-07	651.6961221	1.31E-09
	174.0986375	185.4261518	3.581335156	2.36E-07	664.0731963	1.27E-09
	176.08874	182.76945	3.5174354	2.14E-07	642.8797334	1.17E-09
	180.2932832	186.1647184	3.906647323	2.35E-07	727.2798989	1.26E-09
	183.8639361	131.1876626	4.336859524	1.67E-07	568.942464	1.27E-09
	187.5908871	232.506876	2.316178754	2.00E-07	538.5274863	8.62E-10
	190.0138504	303.827088	2.970839734	2.30E-07	902.6215854	7.58E-10
	191.8024681	267.855574	2.140719954	4.40E-07	573.403772	1.64E-09
	193.2222366	131.8598104	3.767623882	1.53E-07	496.7981707	1.16E-09
	195.2208818	199.512964	2.448969987	4.30E-07	488.6012608	2.15E-09
	196.6024554	145.4667472	3.503799662	3.32E-07	509.6863397	2.28E-09
	198.092884	188.4860882	4.569814538	1.85E-07	861.3464661	9.81E-10
	199.1780001	36.5152958	14.10578895	1.08E-07	515.0770558	2.95E-09
	200.6536348	163.670013	3.718689861	1.67E-07	608.6380179	1.02E-09
	206.8714509	214.397282	3.634950996	1.99E-07	779.3236138	9.27E-10
	208.8484701	178.17839	4.845962608	1.62E-07	863.4458155	9.10E-10
	210.8844785	158.8252876	5.470573983	1.56E-07	868.8654861	9.83E-10
	212.6208123	198.5970474	4.565036792	1.70E-07	906.6028281	8.58E-10
	214.0592475	148.79551	4.184229971	1.42E-07	622.5946326	9.57E-10
	216.1711025	153.632937	6.422049287	1.50E-07	986.6382936	9.76E-10
	219.3588812	260.31586	3.889439697	1.81E-07	1012.48284	6.96E-10
	222.1350398	223.051396	3.241078941	1.67E-07	722.9271823	7.48E-10
	223.6100509	151.509806	5.126652934	1.40E-07	776.7381915	9.23E-10
	226.4327315	198.280874	4.164134295	1.72E-07	825.6681874	8.70E-10
	228.222938	238.118828	4.097488529	1.90E-07	975.6891664	7.98E-10
	229.1915754	235.290084	4.113968468	1.71E-07	967.9759865	7.27E-10
	230.8601945	55.52385	11.13438178	1.07E-07	618.2237439	1.92E-09
	233.4923859	186.151378	4.776180962	1.44E-07	889.0926677	7.74E-10
	236.3797126	197.768191	5.377276695	1.59E-07	1063.454284	8.06E-10
	238.1517017	213.512362	4.893377455	1.69E-07	1044.796579	7.93E-10
	241.4406807	176.4134494	4.956254696	1.37E-07	874.3499869	7.79E-10
	243.0951165	155.2074654	5.688105515	1.31E-07	882.8364399	8.41E-10
	245.0100825	173.8009056	5.455957026	1.34E-07	948.250272	7.72E-10
	247.003929	166.607881	5.757924053	1.35E-07	959.3155254	8.10E-10
	250.1050829	129.8088686	6.661857465	1.15E-07	864.7681803	8.84E-10
	250.9317234	282.333462	3.984021767	1.62E-07	1124.822658	5.73E-10
	256.5923167	181.8515054	4.055196482	1.36E-07	737.443585	7.48E-10
	258.3376205	197.0773606	4.70205873	1.41E-07	926.6693238	7.16E-10
	259.4250055	48.655369	12.74918328	1.04E-07	620.3162169	2.14E-09
	260.5202548	275.315264	2.648301249	2.28E-07	729.1177574	8.27E-10
	260.787503	215.964072	2.736260223	2.07E-07	590.9338998	9.57E-10
	263.3507605	178.8494916	6.12624193	1.35E-07	1095.675255	7.56E-10
	265.0049944	261.339818	3.356892466	1.66E-07	877.2896661	6.36E-10
	266.9320786	277.609654	4.109749747	1.69E-07	1140.906205	6.07E-10
	269.2144291	177.2338078	6.19268673	1.34E-07	1097.55345	7.58E-10
	270.9988214	220.794982	4.87647274	1.52E-07	1076.700711	6.88E-10
	272.8664143	210.382076	4.91626028	1.45E-07	1034.293044	6.87E-10
	274.7600717	137.6711074	6.388899292	1.30E-07	879.5668406	9.47E-10
	277.8178131	177.4243472	5.08398343	1.32E-07	902.0224412	7.42E-10
	279.6742683	286.894028	4.191831488	1.48E-07	1202.61142	5.16E-10
	282.4882137	176.047389	4.597479285	1.33E-07	809.3742242	7.53E-10
	285.8928993	184.8953412	2.791092666	2.00E-07	516.0600308	1.08E-09
	287.3952106	190.3570824	4.907009139	1.42E-07	934.0839429	7.45E-10
	289.3304219	247.34126	2.542095301	1.46E-07	628.7650549	5.91E-10
	299.5605786	165.516759	7.275463046	1.26E-07	1204.211064	7.63E-10
	300.3178545	199.0965388	3.013183502	1.29E-07	599.9144059	6.49E-10
	302.9721552	178.827391	7.01001311	1.30E-07	1253.582355	7.27E-10
	305.0999928	188.9068988	6.540174489	1.43E-07	1235.48408	7.55E-10
	306.3299187	312.786848	2.974735137	1.74E-07	930.4580271	5.57E-10
	313.5290977	280.676734	4.489550272	1.49E-07	1260.112308	5.30E-10
	318.8938185	200.698134	6.056102175	1.36E-07	1215.448406	6.76E-10
	320.6772984	68.5383944	13.0121281	9.37E-08	891.8303674	1.37E-09
	322.595486	108.74558	9.385912792	1.08E-07	1020.67653	9.93E-10
	323.8098937	264.328434	4.009549135	1.47E-07	1059.837844	5.57E-10
	326.375076	160.1553086	6.387193367	1.30E-07	1022.942925	8.09E-10
	327.2722295	152.3566186	6.493319962	1.30E-07	989.3002729	8.53E-10
	328.8098841	164.6252184	6.440386078	1.32E-07	1060.249965	7.99E-10
	331.2502469	202.738194	6.420872398	1.34E-07	1301.756074	6.60E-10
	332.7505382	129.9111768	8.603414718	1.15E-07	1117.679731	8.84E-10
	334.1116392	214.278726	5.70142676	1.38E-07	1221.694463	6.44E-10
	335.4630253	138.527741	7.704927944	1.19E-07	1067.346263	8.58E-10
	338.4482116	142.8827724	6.929429423	1.19E-07	990.0960871	8.31E-10
	340.4287784	127.1241534	8.209178637	1.14E-07	1043.584884	8.95E-10
	342.5302061	71.0630164	12.46247494	9.79E-08	885.6210612	1.38E-09
	343.945227	110.2995872	8.783523499	1.11E-07	968.8190161	1.01E-09
